id,season,team1,team2,toss_winner,toss_decision,result,winner,winner_runs,winner_wickets,player_of_match,venue,city,umpire1,umpire2,reserve_umpire,tv_umpire,match_referee,eliminator
1,2020/21,Kandy Tuskers,Colombo Kings,Colombo Kings,field,tie,Kandy Tuskers,0,0,LD Chandimal,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Hambantota,LE Hannibal,RR Wimalasiri,RMPJ Rambukwella,RSA Palliyaguruge,GF Labrooy,Colombo Kings
2,2020/21,Galle Gladiators,Jaffna Stallions,Galle Gladiators,bat,normal,Jaffna Stallions,0,8,WIA Fernando,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Hambantota,ID Gunawardene,LE Hannibal,Keerthi Bandara,RMPJ Rambukwella,WC Labrooy,
3,2020/21,Dambulla Viiking,Kandy Tuskers,Kandy Tuskers,field,normal,Dambulla Viiking,4,0,MD Shanaka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Hambantota,JWHD Boteju,RR Wimalasiri,RA Kottahachchi,RSA Palliyaguruge,BCMS Mendis,
4,2020/21,Colombo Kings,Galle Gladiators,Galle Gladiators,field,normal,Colombo Kings,34,0,AD Russell,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Hambantota,RMPJ Rambukwella,RD Kottahachchi,EJAPAM Jayasooriya,LE Hannibal,GF Labrooy,
5,2020/21,Jaffna Stallions,Dambulla Viiking,Dambulla Viiking,field,normal,Jaffna Stallions,66,0,NLTC Perera,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Hambantota,Keerthi Bandara,RR Wimalasiri,ID Gunawardene,RSA Palliyaguruge,WC Labrooy,
6,2020/21,Kandy Tuskers,Galle Gladiators,Galle Gladiators,field,normal,Kandy Tuskers,25,0,BRM Taylor,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Hambantota,LE Hannibal,RA Kottahachchi,JWHD Boteju,RMPJ Rambukwella,BCMS Mendis,
7,2020/21,Dambulla Viiking,Colombo Kings,Dambulla Viiking,bat,normal,Dambulla Viiking,28,0,MD Shanaka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Hambantota,ID Gunawardene,RSA Palliyaguruge,RD Kottahachchi,RR Wimalasiri,GF Labrooy,
8,2020/21,Jaffna Stallions,Kandy Tuskers,Jaffna Stallions,bat,normal,Jaffna Stallions,54,0,NLTC Perera,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Hambantota,EJAPAM Jayasooriya,RMPJ Rambukwella,Keerthi Bandara,LE Hannibal,WC Labrooy,
9,2020/21,Galle Gladiators,Jaffna Stallions,Galle Gladiators,bat,normal,Jaffna Stallions,0,5,WIA Fernando,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Hambantota,JWHD Boteju,RSA Palliyaguruge,RA Kottahachchi,RR Wimalasiri,BCMS Mendis,
10,2020/21,Kandy Tuskers,Dambulla Viiking,Kandy Tuskers,bat,normal,Dambulla Viiking,0,5,AK Perera,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Hambantota,LE Hannibal,RD Kottahachchi,EJAPAM Jayasooriya,RMPJ Rambukwella,GF Labrooy,
11,2020/21,Jaffna Stallions,Colombo Kings,Colombo Kings,field,normal,Colombo Kings,0,6,LD Chandimal,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Hambantota,Keerthi Bandara,RR Wimalasiri,ID Gunawardene,RSA Palliyaguruge,WC Labrooy,
12,2020/21,Dambulla Viiking,Galle Gladiators,Dambulla Viiking,bat,normal,Dambulla Viiking,9,0,Anwar Ali,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Hambantota,EJAPAM Jayasooriya,RMPJ Rambukwella,RD Kottahachchi,RR Wimalasiri,BCMS Mendis,
