state_code,Chennai Super Kings,Hyderabad Sunriser,Delhi Capitals,Gujarat Lions,Kings XI Punjab,Kochi Tuskers Kerala,Kolkata Knight Riders,Mumbai Indians,Pune Warriors,Rajasthan Royals,Pune Supergiant,Royal Challengers Bangalore
0,3,33,5,0,4,0,5,7,1,2,2,2
2,0,2,1,0,0,0,0,0,0,0,0,0
6,3,4,1,2,30,0,4,4,1,3,0,4
7,7,8,31,1,5,1,5,6,1,5,1,6
8,3,1,2,0,1,0,3,2,0,32,0,3
9,0,1,1,2,0,0,0,0,0,0,0,0
19,5,2,2,2,3,1,45,10,0,2,1,4
20,0,1,0,0,0,0,1,0,1,0,0,1
21,0,3,0,0,1,0,3,0,0,0,0,0
22,0,1,4,0,0,0,0,0,0,0,0,1
23,0,0,0,0,3,1,1,2,0,0,0,1
24,0,2,3,3,4,0,2,2,0,7,0,3
27,21,9,9,2,7,1,9,57,7,12,8,10
28,2,3,2,0,1,0,0,2,0,1,2,0
29,5,3,4,1,5,0,8,9,0,4,1,37
32,0,1,1,0,0,2,0,0,0,0,0,1
33,40,3,4,0,3,0,3,7,1,1,0,5
